technology,latency,mergeradix,datawidth,action,energy,area,widthoffset,heightoffset,width,height,microns
45nm,0.396042ns,2,8,merger_random,0,581.3544,-1140,-1140,49020,45220,2000
45nm,0.396083ns,4,8,merger_random,0,1174.6218,-1140,-1140,69920,64980,2000
45nm,0.396054ns,8,8,merger_random,0,2286.3935,-1140,-1140,99560,89680,2000
45nm,0.396063ns,16,8,merger_random,0,4531.9218,-1140,-1140,137940,129200,2000
45nm,0.396104ns,32,8,merger_random,0,8930.2014,-1140,-1140,192280,183540,2000
45nm,0.396065ns,64,8,merger_random,0,17637.5936,-1140,-1140,266380,262580,2000
45nm,0.396008ns,128,8,merger_random,0,35271.866,-1140,-1140,377720,371260,2000
45nm,0.396045ns,2,16,merger_random,0,1022.9296,-1140,-1140,65740,60040,2000
45nm,0.396049ns,4,16,merger_random,0,2055.9672,-1140,-1140,94620,84740,2000
45nm,0.396043ns,8,16,merger_random,0,4109.985,-1140,-1140,129960,124260,2000
45nm,0.396055ns,16,16,merger_random,0,8153.546,-1140,-1140,185440,173660,2000
45nm,0.396067ns,32,16,merger_random,0,16126.231,-1140,-1140,258020,247760,2000
45nm,0.396075ns,64,16,merger_random,0,32261.2704,-1140,-1140,364800,351500,2000
45nm,0.396059ns,2,32,merger_random,0,1799.2962,-1140,-1140,87780,79800,2000
45nm,0.396061ns,4,32,merger_random,0,3654.4752,-1140,-1140,125400,114380,2000
45nm,0.396052ns,8,32,merger_random,0,7326.0618,-1140,-1140,171380,168720,2000
45nm,0.396064ns,16,32,merger_random,0,14645.9505,-1140,-1140,243960,237880,2000
45nm,0.396154ns,32,32,merger_random,0,28851.5171,-1140,-1140,340480,336680,2000
45nm,0,64,32,merger_random,0,58170.0238,-1140,-1140,487540,475000,2000
